city, state_id, state_name, county, longitude, latitude, zips, fips id
Medina,WA,Washington,King,47.6257,-122.2338,98039,1840019829
Algona,WA,Washington,King,47.2819,-122.2504,98001 98047,1840018415
Nine Mile Falls,WA,Washington,Spokane,47.7757,-117.5461,99026,1840037609
Black Diamond,WA,Washington,King,47.313,-122.0181,98010,1840018418
Gold Bar,WA,Washington,Snohomish,47.8562,-121.6919,98251,1840019786
Mesa,WA,Washington,Franklin,46.5736,-119.0013,99326 99343,1840019887
Cavalero Corner,WA,Washington,Snohomish,47.9782,-122.1349,98205,1840037734
Lilliwaup,WA,Washington,Mason,47.4634,-123.1143,98555,1840037788
La Conner,WA,Washington,Skagit,48.3925,-122.4945,98257,1840021068
Sheridan Beach,WA,Washington,King,47.7448,-122.2882,98155,1840037884
Lincoln,WA,Washington,Lincoln,47.829,-118.415,99147,1840037499
Markham,WA,Washington,Grays Harbor,46.9155,-123.9814,98520,1840017359
Eltopia,WA,Washington,Franklin,46.4587,-119.0172,99330,1840037650
Stevenson,WA,Washington,Skamania,45.6944,-121.8933,98648,1840021180
Greenwater,WA,Washington,Pierce,47.1467,-121.6327,98022,1840017343
Copalis Beach,WA,Washington,Grays Harbor,47.1205,-124.1722,98535 98536,1840017356
Roosevelt,WA,Washington,Snohomish,47.8923,-122.0123,98290,1840037586
La Crosse,WA,Washington,Whitman,46.8027,-117.9014,99143,1840037498
Summit,WA,Washington,Pierce,47.1694,-122.3629,98373 98371 98446,1840018456
Ohop,WA,Washington,Pierce,46.9457,-122.1907,98360,1840037801
Malden,WA,Washington,Whitman,47.2296,-117.4732,99149,1840022313
Beverly,WA,Washington,Grant,46.8368,-119.9331,99321,1840037491
Prosser,WA,Washington,Benton,46.2065,-119.7659,99350,1840019890
Lake Roesiger,WA,Washington,Snohomish,47.9839,-121.9129,98290,1840037853
Fern Prairie,WA,Washington,Clark,45.637,-122.3963,98607,1840023890
Maple Valley,WA,Washington,King,47.3664,-122.037,98038,1840019828
Gifford,WA,Washington,Stevens,48.3063,-118.1464,99131,1840037767
Auburn,WA,Washington,King,47.3039,-122.2108,98001 98002 98092,1840018416
Burton,WA,Washington,King,47.389,-122.4607,98070,1840037625
Burlington,WA,Washington,Skagit,48.4676,-122.3298,98233,1840018367
Carrolls,WA,Washington,Cowlitz,46.0715,-122.8623,98626,1840037627
Bayne,WA,Washington,King,47.2951,-121.9096,98022,1840037746
East Cathlamet,WA,Washington,Wahkiakum,46.1968,-123.358,98612,1840037849
Purdy,WA,Washington,Pierce,47.3938,-122.6114,98332,1840023838
Kapowsin,WA,Washington,Pierce,46.9727,-122.2272,98360 98338 98344,1840023832
Ketron,WA,Washington,Pierce,47.1569,-122.6343,98388,1840037558
Connell,WA,Washington,Franklin,46.6627,-118.8403,99326,1840018479
Shore Acres,WA,Washington,Pierce,47.3104,-122.5715,98335,1840037590
Clear Lake,WA,Washington,Skagit,48.4561,-122.2378,98235 98284 98273,1840023932
Kittitas,WA,Washington,Kittitas,46.9844,-120.4198,98934 98926,1840019843
Bucoda,WA,Washington,Thurston,46.7969,-122.8679,98530,1840021143
Ardenvoir,WA,Washington,Chelan,47.7373,-120.369,98811,1840037742
Ellisport,WA,Washington,King,47.4204,-122.4354,98070,1840037649
Bainbridge Island,WA,Washington,Kitsap,47.6439,-122.5434,98110 98061,1840018409
Danville,WA,Washington,Ferry,48.9938,-118.5068,99121,1840037761
Hazelwood,WA,Washington,King,47.5509,-122.1915,98006,1840037663
